,State,COLI
,Hawaii,184
2,District of Columbia,152.2
3,Massachusetts,149.7
4,California,137.6
5,New York,134.5
6,Alaska,126.6
7,Maryland,124
8,Oregon,121.2
9,Connecticut,116.8
10,New Hampshire,116.1
11,Vermont,115.9
12,Maine,115.3
13,Washington,114.2
14,Rhode Island,112.9
15,New Jersey,112.4
16,Arizona,105.8
17,Delaware,105.6
18,Montana,104.8
19,Colorado,104.6
20,Nevada,103.2
21,Florida,102.8
22,Utah,102.8
23,Virginia,102.8
24,Idaho,99.6
25,Pennsylvania,98.2
26,Minnesota,97.5
27,North Dakota,97.1
28,North Carolina,95.7
29,Wisconsin,95.5
30,Kentucky,94.9
31,South Dakota,94.5
32,South Carolina,94.3
33,New Mexico,94
34,Louisiana,93.6
35,Illinois,92.6
36,Texas,92.5
37,Wyoming,92.5
38,Michigan,92.2
39,Nebraska,91.9
40,Ohio,91.9
41,Arkansas,90.6
42,Tennessee,90.2
43,West Virginia,90
44,Indiana,89.9
45,Iowa,89.2
46,Missouri,89.1
47,Georgia,88.6
48,Alabama,88.1
49,Kansas,87.5
50,Oklahoma,85.8
51,Mississippi,85
