Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Analyst,Alaska,,73316,82077,91700,102596,112517
Data Analyst,Maine,,64782,72523,81025,90653,99419
Data Analyst,Vermont,,64714,72447,80941,90559,99316
Data Analyst,New Hampshire,,68088,76224,85161,95280,104493
Data Analyst,Washington,,72100,80715,90178,100894,110650
Data Analyst,Idaho,,62393,69849,78038,87311,95754
Data Analyst,Montana,,61434,68775,76839,85969,94282
Data Analyst,North Dakota,,64526,72237,80706,90296,99027
Data Analyst,Minnesota,,68867,77097,86136,96371,105690
Data Analyst,Illinois,,69049,77300,86362,96625,105968
Data Analyst,Wisconsin,,66193,74103,82790,92628,101585
Data Analyst,Michigan,,66648,74613,83360,93266,102284
Data Analyst,New York,,71710,80279,89691,100349,110052
Data Analyst,Rhode Island,,70426,78842,88086,98553,108082
Data Analyst,Massachusetts,,73135,81874,91473,102342,112238
Data Analyst,Oregon,,67564,75637,84505,94546,103689
Data Analyst,Nevada,,67927,76044,84959,95054,104246
Data Analyst,Wyoming,,61811,69198,77310,86497,94861
Data Analyst,South Dakota,,59217,66294,74066,82867,90880
Data Analyst,Iowa,,64311,71996,80437,89995,98697
Data Analyst,Indiana,,65534,73365,81967,91707,100574
Data Analyst,Ohio,,65909,73784,82435,92230,101149
Data Analyst,Pennsylvania,,67066,75081,83883,93851,102926
Data Analyst,New Jersey,,73981,82822,92532,103527,113538
Data Analyst,Connecticut,,72429,81084,90590,101355,111155
Data Analyst,California,,74123,82980,92708,103725,113754
Data Analyst,Utah,,63586,71184,79530,88980,97584
Data Analyst,Colorado,,67893,76006,84917,95007,104194
Data Analyst,Nebraska,,63055,70589,78865,88236,96769
Data Analyst,Missouri,,64032,71684,80088,89605,98269
Data Analyst,Kentucky,,63236,70792,79092,88490,97047
Data Analyst,West Virginia,,60513,67744,75686,84680,92868
Data Analyst,Virginia,,66798,74780,83547,93474,102513
Data Analyst,Maryland,,69288,77568,86662,96960,106335
Data Analyst,Delaware,,68646,76848,85858,96060,105349
Data Analyst,Arizona,,65817,73681,82320,92101,101007
Data Analyst,New Mexico,,61986,69393,77529,86741,95129
Data Analyst,Kansas,,63989,71635,80033,89544,98202
Data Analyst,Arkansas,,61240,68558,76596,85697,93984
Data Analyst,Tennessee,,61778,69160,77268,86450,94809
Data Analyst,North Carolina,,64513,72222,80689,90277,99007
Data Analyst,South Carolina,,63445,71026,79353,88783,97368
Data Analyst,District of Columbia,,74808,83747,93566,104684,114806
Data Analyst,Oklahoma,,62135,69559,77714,86949,95357
Data Analyst,Louisiana,,63895,71530,79916,89412,98058
Data Analyst,Mississippi,,59930,67091,74957,83864,91973
Data Analyst,Alabama,,61737,69115,77218,86393,94747
Data Analyst,Georgia,,65207,72999,81557,91249,100072
Data Analyst,Hawaii,,70507,78932,88186,98665,108206
Data Analyst,Texas,,66058,73952,82622,92440,101379
Data Analyst,Florida,,63841,71469,79849,89337,97975
