Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Architect,Alaska,,111010,125499,141413,158698,174434
Data Architect,Maine,,98088,110890,124952,140224,154129
Data Architect,Vermont,,97986,110775,124822,140079,153969
Data Architect,New Hampshire,,103094,116550,131329,147381,161995
Data Architect,Washington,,109168,123417,139067,156065,171541
Data Architect,Idaho,,94471,106802,120345,135055,148447
Data Architect,Montana,,93019,105160,118496,132979,146165
Data Architect,North Dakota,,97701,110453,124459,139672,153522
Data Architect,Minnesota,,104274,117884,132833,149068,163850
Data Architect,Illinois,,104549,118195,133183,149461,164282
Data Architect,Wisconsin,,100224,113306,127674,143279,157487
Data Architect,Michigan,,100914,114086,128553,144265,158571
Data Architect,New York,,108578,122750,138315,155221,170613
Data Architect,Rhode Island,,106635,120553,135840,152443,167559
Data Architect,Massachusetts,,110735,125188,141063,158305,174003
Data Architect,Oregon,,102300,115652,130318,146246,160748
Data Architect,Nevada,,102849,116274,131018,147032,161612
Data Architect,Wyoming,,93590,105806,119223,133795,147062
Data Architect,South Dakota,,89663,101366,114219,128180,140891
Data Architect,Iowa,,97375,110085,124045,139206,153010
Data Architect,Indiana,,99227,112178,126404,141853,155920
Data Architect,Ohio,,99794,112819,127126,142664,156810
Data Architect,Pennsylvania,,101547,114801,129359,145170,159565
Data Architect,New Jersey,,112017,126638,142697,160138,176017
Data Architect,Connecticut,,109667,123981,139702,156778,172324
Data Architect,California,,112231,126879,142969,160443,176353
Data Architect,Utah,,96277,108844,122646,137637,151285
Data Architect,Colorado,,102799,116216,130953,146959,161532
Data Architect,Nebraska,,95473,107934,121621,136486,150020
Data Architect,Missouri,,96953,109607,123507,138602,152346
Data Architect,Kentucky,,95747,108244,121971,136879,150452
Data Architect,West Virginia,,91624,103583,116719,130985,143973
Data Architect,Virginia,,101140,114341,128840,144588,158926
Data Architect,Maryland,,104911,118604,133644,149979,164851
Data Architect,Delaware,,103938,117504,132405,148588,163322
Data Architect,Arizona,,99655,112662,126948,142464,156591
Data Architect,New Mexico,,93855,106105,119560,134173,147478
Data Architect,Kansas,,96887,109533,123422,138508,152242
Data Architect,Arkansas,,92725,104828,118121,132559,145703
Data Architect,Tennessee,,93539,105748,119158,133722,146982
Data Architect,North Carolina,,97681,110430,124433,139642,153490
Data Architect,South Carolina,,96064,108602,122374,137331,150949
Data Architect,District of Columbia,,113269,128053,144291,161927,177984
Data Architect,Oklahoma,,94080,106359,119846,134495,147831
Data Architect,Louisiana,,96744,109372,123241,138304,152019
Data Architect,Mississippi,,90741,102585,115593,129722,142585
Data Architect,Alabama,,93478,105679,119080,133635,146886
Data Architect,Georgia,,98732,111618,125772,141145,155141
Data Architect,Hawaii,,106757,120691,135995,152618,167751
Data Architect,Texas,,100021,113076,127415,142988,157167
Data Architect,Florida,,96663,109280,123137,138188,151891
