Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Business Analyst,"New York, NY",,79203,87613,96850,107452,117105
Business Analyst,"Los Angeles, CA",,75677,83713,92539,102670,111893
Business Analyst,"Chicago, IL",,71107,78658,86951,96469,105135
Business Analyst,"Houston, TX",,68586,75869,83868,93049,101408
Business Analyst,"Phoenix, AZ",,66587,73658,81424,90338,98453
Business Analyst,"Philadelphia, PA",,71532,79127,87470,97046,105763
Business Analyst,"San Antonio, TX",,65007,71910,79491,88193,96116
Business Analyst,"San Diego, CA",,72742,80467,88951,98688,107553
Business Analyst,"Dallas, TX",,66968,74079,81890,90854,99016
Business Analyst,"San Jose, CA",,84595,93578,103444,114768,125078
Business Analyst,"Austin, TX",,66294,73334,81066,89940,98019
Business Analyst,"Jacksonville, FL",,64090,70896,78370,86950,94760
Business Analyst,"Fort Worth, TX",,65681,72656,80316,89109,97113
Business Analyst,"Columbus, OH",,66184,73212,80931,89791,97857
Business Analyst,"Charlotte, NC",,65848,72840,80520,89335,97360
Business Analyst,"San Francisco, CA",,84258,93205,103032,114311,124580
Business Analyst,"Indianapolis, IN",,65586,72551,80200,88980,96973
Business Analyst,"Seattle, WA",,74376,82274,90949,100905,109969
Business Analyst,"Denver, CO",,68505,75779,83769,92939,101288
Business Analyst,"Washington, DC",,75037,83005,91756,101801,110946
Business Analyst,"Boston, MA",,75947,84011,92869,103035,112291
Business Analyst,"El Paso, TX",,58958,65219,72095,79988,87173
Business Analyst,"Nashville, TN",,62846,69519,76849,85261,92921
Business Analyst,"Detroit, MI",,68155,75392,83341,92464,100770
Business Analyst,"Oklahoma City, OK",,61576,68114,75296,83539,91043
Business Analyst,"Portland, OR",,70225,77682,85872,95272,103831
Business Analyst,"Las Vegas, NV",,68519,75794,83786,92958,101308
Business Analyst,"Memphis, TN",,62466,69099,76384,84746,92358
Business Analyst,"Louisville, KY",,63989,70784,78247,86812,94611
Business Analyst,"Baltimore, MD",,69294,76652,84734,94009,102454
