Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Engineer,"New York, NY",,100909,117759,136265,156524,174969
Data Engineer,"Los Angeles, CA",,96418,112517,130200,149557,167181
Data Engineer,"Chicago, IL",,90595,105722,122337,140525,157085
Data Engineer,"Houston, TX",,87383,101974,118000,135543,151515
Data Engineer,"Phoenix, AZ",,84837,99002,114561,131593,147100
Data Engineer,"Philadelphia, PA",,91136,106353,123068,141364,158023
Data Engineer,"San Antonio, TX",,82823,96652,111842,128470,143608
Data Engineer,"San Diego, CA",,92679,108153,125150,143757,160697
Data Engineer,"Dallas, TX",,85322,99569,115216,132346,147942
Data Engineer,"San Jose, CA",,107780,125776,145543,167181,186881
Data Engineer,"Austin, TX",,84463,98566,114057,131014,146452
Data Engineer,"Jacksonville, FL",,81655,95289,110265,126658,141583
Data Engineer,"Fort Worth, TX",,83683,97655,113003,129803,145099
Data Engineer,"Columbus, OH",,84323,98403,113868,130797,146210
Data Engineer,"Charlotte, NC",,83895,97903,113289,130132,145467
Data Engineer,"San Francisco, CA",,107350,125275,144963,166515,186137
Data Engineer,"Indianapolis, IN",,83561,97514,112839,129615,144889
Data Engineer,"Seattle, WA",,94760,110583,127962,146986,164307
Data Engineer,"Denver, CO",,87280,101854,117861,135383,151337
Data Engineer,"Washington, DC",,95602,111565,129098,148291,165766
Data Engineer,"Boston, MA",,96761,112918,130664,150090,167776
Data Engineer,"El Paso, TX",,75117,87659,101436,116516,130247
Data Engineer,"Nashville, TN",,80070,93439,108124,124199,138834
Data Engineer,"Detroit, MI",,86834,101332,117258,134691,150562
Data Engineer,"Oklahoma City, OK",,78452,91551,105939,121689,136029
Data Engineer,"Portland, OR",,89471,104410,120819,138781,155135
Data Engineer,"Las Vegas, NV",,87297,101874,117884,135410,151366
Data Engineer,"Memphis, TN",,79585,92874,107470,123447,137994
Data Engineer,"Louisville, KY",,81526,95139,110091,126458,141360
Data Engineer,"Baltimore, MD",,88285,103026,119217,136942,153079
Data Engineer,"Milwaukee, WI",,84995,99187,114775,131838,147374
Data Engineer,"Albuquerque, NM",,80748,94231,109040,125251,140011
Data Engineer,"Tucson, AZ",,81466,95069,110009,126365,141256
Data Engineer,"Fresno, CA",,86052,100420,116202,133478,149207
Data Engineer,"Mesa, AZ",,84850,99017,114579,131613,147123
Data Engineer,"Sacramento, CA",,93000,108528,125584,144255,161254
Data Engineer,"Atlanta, GA",,84351,98435,113905,130839,146257
Data Engineer,"Kansas City, MO",,84223,98286,113732,130641,146036
Data Engineer,"Colorado Springs, CO",,85477,99749,115425,132586,148210
Data Engineer,"Omaha, NE",,81195,94752,109643,125944,140785
Data Engineer,"Raleigh, NC",,83707,97684,113036,129842,145142
Data Engineer,"Miami, FL",,83348,97265,112550,129283,144518
Data Engineer,"Long Beach, CA",,95756,111745,129307,148531,166034
Data Engineer,"Virginia Beach, VA",,82102,95810,110868,127351,142357
Data Engineer,"Oakland, CA",,104774,122268,141484,162518,181670
Data Engineer,"Minneapolis, MN",,91497,106774,123555,141924,158648
Data Engineer,"Tulsa, OK",,81792,95450,110450,126871,141821
Data Engineer,"Tampa, FL",,81741,95389,110380,126791,141732
Data Engineer,"Arlington, TX",,83545,97495,112817,129590,144861
Data Engineer,"New Orleans, LA",,84079,98118,113538,130418,145787
Data Engineer,"Wichita, KS",,80985,94507,109360,125619,140422
Data Engineer,"Bakersfield, CA",,91978,107336,124204,142670,159482
Data Engineer,"Cleveland, OH",,84777,98932,114480,131500,146996
Data Engineer,"Aurora, CO",,87223,101786,117783,135294,151237
Data Engineer,"Anaheim, CA",,95971,111996,129597,148864,166406
Data Engineer,"Honolulu, HI",,89565,104519,120945,138927,155298
Data Engineer,"Santa Ana, CA",,95842,111846,129423,148664,166183
Data Engineer,"Riverside, CA",,91875,107215,124065,142510,159303
Data Engineer,"Corpus Christi, TX",,80607,94067,108850,125033,139766
Data Engineer,"Lexington, KY",,80530,93976,108745,124913,139632
Data Engineer,"Henderson, NV",,86954,101473,117420,134877,150771
Data Engineer,"Stockton, CA",,91780,107105,123937,142364,159140
Data Engineer,"Saint Paul, MN",,91497,106774,123555,141924,158648
Data Engineer,"Cincinnati, OH",,83982,98005,113407,130268,145619
Data Engineer,"Pittsburgh, PA",,84592,98717,114231,131214,146676
Data Engineer,"Greensboro, NC",,82075,95779,110832,127309,142311
Data Engineer,"Lincoln, NE",,80478,93915,108675,124832,139542
Data Engineer,"Anchorage, AK",,95516,111465,128982,148158,165617
Data Engineer,"Plano, TX",,85322,99569,115216,132346,147942
Data Engineer,"Orlando, FL",,81579,95200,110161,126539,141451
Data Engineer,"Irvine, CA",,95756,111745,129307,148531,166034
Data Engineer,"Newark, NJ",,97216,113449,131278,150796,168566
Data Engineer,"Durham, NC",,83208,97101,112361,129066,144275
Data Engineer,"Chula Vista, CA",,92679,108153,125150,143757,160697
Data Engineer,"Toledo, OH",,82986,96843,112062,128723,143891
Data Engineer,"Fort Wayne, IN",,80119,93496,108190,124275,138919
Data Engineer,"Laredo, TX",,76545,89326,103364,118732,132723
Data Engineer,"Jersey City, NJ",,100909,117759,136265,156524,174969
Data Engineer,"Chandler, AZ",,84850,99017,114579,131613,147123
Data Engineer,"Madison, WI",,84149,98200,113632,130526,145907
Data Engineer,"Lubbock, TX",,77352,90268,104454,119984,134123
Data Engineer,"Scottsdale, AZ",,84850,99017,114579,131613,147123
Data Engineer,"Reno, NV",,86688,101162,117060,134464,150309
Data Engineer,"Buffalo, NY",,83847,97847,113224,130057,145383
Data Engineer,"Gilbert, AZ",,84850,99017,114579,131613,147123
Data Engineer,"Glendale, AZ",,84837,99002,114561,131593,147100
Data Engineer,"North Las Vegas, NV",,87297,101874,117884,135410,151366
Data Engineer,"Chesapeake, VA",,80762,94247,109058,125272,140034
Data Engineer,"Norfolk, VA",,80865,94367,109198,125432,140213
Data Engineer,"Fremont, CA",,107574,125536,145264,166861,186524
Data Engineer,"Garland, TX",,85322,99569,115216,132346,147942
