Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Scientist,Alaska,,127015,141176,156729,172349,186569
Data Scientist,Maine,,112230,124742,138485,152286,164851
Data Scientist,Vermont,,112114,124613,138341,152128,164680
Data Scientist,New Hampshire,,117958,131109,145553,160058,173265
Data Scientist,Washington,,124908,138834,154129,169489,183474
Data Scientist,Idaho,,108092,120143,133379,146672,158773
Data Scientist,Montana,,106431,118297,131329,144417,156333
Data Scientist,North Dakota,,111788,124250,137939,151686,164201
Data Scientist,Minnesota,,119308,132610,147219,161891,175248
Data Scientist,Illinois,,119623,132959,147607,162317,175710
Data Scientist,Wisconsin,,114675,127459,141502,155603,168442
Data Scientist,Michigan,,115464,128337,142476,156674,169602
Data Scientist,New York,,124233,138083,153296,168573,182482
Data Scientist,Rhode Island,,122009,135612,150552,165556,179216
Data Scientist,Massachusetts,,126701,140827,156341,171922,186107
Data Scientist,Oregon,,117050,130099,144432,158826,171931
Data Scientist,Nevada,,117678,130798,145208,159679,172854
Data Scientist,Wyoming,,107084,119023,132135,145304,157293
Data Scientist,South Dakota,,102590,114028,126590,139206,150692
Data Scientist,Iowa,,111415,123836,137479,151180,163654
Data Scientist,Indiana,,113534,126191,140094,154055,166766
Data Scientist,Ohio,,114182,126912,140894,154935,167719
Data Scientist,Pennsylvania,,116188,129142,143369,157657,170665
Data Scientist,New Jersey,,128168,142457,158152,173912,188262
Data Scientist,Connecticut,,125479,139468,154833,170263,184312
Data Scientist,California,,128412,142729,158453,174244,188621
Data Scientist,Utah,,110159,122440,135929,149476,161809
Data Scientist,Colorado,,117620,130733,145136,159600,172769
Data Scientist,Nebraska,,109238,121416,134793,148226,160456
Data Scientist,Missouri,,110932,123299,136883,150525,162944
Data Scientist,Kentucky,,109552,121766,135181,148653,160918
Data Scientist,West Virginia,,104835,116523,129360,142252,153989
Data Scientist,Virginia,,115723,128624,142795,157025,169981
Data Scientist,Maryland,,120037,133420,148119,162880,176319
Data Scientist,Delaware,,118924,132183,146745,161369,174684
Data Scientist,Arizona,,114023,126735,140697,154719,167485
Data Scientist,New Mexico,,107387,119359,132509,145714,157737
Data Scientist,Kansas,,110856,123215,136790,150422,162833
Data Scientist,Arkansas,,106095,117923,130914,143961,155839
Data Scientist,Tennessee,,107026,118958,132063,145225,157207
Data Scientist,North Carolina,,111764,124224,137910,151654,164167
Data Scientist,South Carolina,,109914,122168,135628,149144,161450
Data Scientist,District of Columbia,,129600,144049,159918,175856,190365
Data Scientist,Oklahoma,,107644,119645,132826,146063,158115
Data Scientist,Louisiana,,110693,123034,136589,150201,162594
Data Scientist,Mississippi,,103824,115399,128113,140880,152504
Data Scientist,Alabama,,106956,118880,131977,145130,157104
Data Scientist,Georgia,,112967,125561,139394,153286,165934
Data Scientist,Hawaii,,122149,135767,150724,165745,179421
Data Scientist,Texas,,114442,127201,141214,155287,168100
Data Scientist,Florida,,110600,122930,136474,150074,162457
