Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Scientist III,Alaska,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",103904,115192,127590,141481,154128
Data Scientist III,Maine,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",91809,101783,112738,125011,136186
Data Scientist III,Vermont,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",91714,101677,112621,124882,136045
Data Scientist III,New Hampshire,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",96495,106978,118491,131392,143137
Data Scientist III,Washington,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",102181,113281,125473,139134,151571
Data Scientist III,Idaho,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",88424,98030,108581,120403,131165
Data Scientist III,Montana,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",87065,96524,106912,118552,129149
Data Scientist III,North Dakota,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",91447,101382,112293,124519,135649
Data Scientist III,Minnesota,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",97600,108202,119848,132896,144775
Data Scientist III,Illinois,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",97857,108487,120164,133246,145157
Data Scientist III,Wisconsin,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",93809,104000,115193,127735,139153
Data Scientist III,Michigan,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",94455,104716,115986,128614,140111
Data Scientist III,New York,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",101628,112669,124795,138381,150751
Data Scientist III,Rhode Island,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",99809,110652,122561,135905,148053
Data Scientist III,Massachusetts,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",103647,114907,127274,141131,153746
Data Scientist III,Oregon,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",95752,106154,117579,130380,142035
Data Scientist III,Nevada,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",96266,106724,118211,131080,142798
Data Scientist III,Wyoming,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",87600,97116,107568,119280,129942
Data Scientist III,South Dakota,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",83924,93041,103054,114274,124489
Data Scientist III,Iowa,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",91143,101044,111919,124104,135197
Data Scientist III,Indiana,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",92876,102965,114047,126464,137768
Data Scientist III,Ohio,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",93406,103554,114699,127186,138555
Data Scientist III,Pennsylvania,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",95047,105373,116714,129421,140989
Data Scientist III,New Jersey,"Data Scientist III identifies trends, patterns, and anomalies found in big data sets by performing extensive data analysis to develop insights. Performs data mining, cleaning, and aggregation processes to prepare data, implement data models, conduct analysis, and develop databases. Being a Data Scientist III interprets results from multiple structured and unstructured data sources using programming, statistical, and analytical techniques and tools. Collaborates with teams to understand each data analysis projects&#39; underlying purpose, focus, and objectives. Additionally, Data Scientist III designs, develops, and implements the most valuable data-driven solutions for the organization. Typically requires a master&#39;s degree in computer science, mathematics, engineering or equivalent. Typically reports to a manager. The Data Scientist III work is generally independent and collaborative in nature. Contributes to moderately complex aspects of a project. To be a Data Scientist III typically requires 4 -7 years of related experience.",104847,116237,128748,142765,155526
